n time
4162 1.95964
4172 2.0426
4182 1.95759
4192 1.95333
4202 1.96421
4212 1.94923
4222 1.96889
4232 1.9413
4242 1.94989
4252 1.96499
4262 2.00216
4272 1.99781
4282 1.88235
4292 1.93777
4302 1.95248
4312 1.92766
4322 1.95022
4332 1.82294
4342 2.00647
4352 1.93763
4362 1.97877
4372 1.91543
4382 1.85253
4392 1.94304
4402 1.96588
4412 1.95966
4422 1.95417
4432 1.97886
4442 1.89178
4452 1.94515
4462 1.97684
4472 1.9413
4482 1.96653
4492 1.93033
4502 1.96466
4512 1.95052
4522 1.96319
4532 1.94656
4542 2.00988
4552 2.11111
4562 1.81406
4572 1.96982
4582 1.95181
4592 2.02236
4602 1.95363
4612 2.00595
4622 2.05859
4632 1.95229
4642 1.97791
4652 1.93905
4662 1.90388
4672 1.97905
4682 1.82332
4692 1.94882
4702 1.97804
4712 1.97416
4722 1.97633
4732 1.96875
4742 1.9881
4752 2.04331
4762 2.55939
4772 1.85587
4782 1.89397
4792 2.68852
4802 2.2468
4812 2.00193
4822 1.97303
4832 1.99419
4842 1.98646
4852 2.06602
4862 2.08155
4872 1.86957
4882 1.99035
4892 1.95402
4902 1.91353
4912 2.05838
4922 1.96015
4932 1.94518
4942 1.98667
4952 1.96571
4962 1.95085
4972 1.97732
4982 1.94549
4992 2.0434
5002 2.04972
5012 1.97955
5022 1.94796
5032 2.16266
5042 1.92727
5052 1.93852
5062 1.96507
5072 1.97711
5082 1.97326
5092 2.03448
5102 1.81481
5112 1.99267
5122 2.07246
5132 1.94614
5142 1.98039
5152 2.0188
5162 1.95504
5172 1.96942
5182 2.05946
5192 1.97699
5202 1.83775
5212 1.93368
5222 2.00722
5232 2.00181
5242 1.97865
5252 2.06007
5262 2.10997
5272 2.01079
5282 1.99464
5292 1.98404
5302 2.05954
5312 2.0636
5322 1.85761
5332 1.96181
5342 1.90033
5352 2.10235
5362 1.83871
5372 1.95017
5382 2.06441
5392 1.98974
5402 2.02062
5412 1.86129
5422 1.99481
5432 1.97059
5442 1.97935
5452 1.97432
5462 1.98113
5472 2.03565
5482 1.92512
5492 1.95638
5502 1.95915
5512 1.99148
5522 1.99154
5532 1.96121
5542 1.98986
5552 2.06937
5562 2.06633
5572 1.87005
5582 1.98658
5592 1.95151
5602 2.17617
5612 1.90354
5622 2.05298
5632 1.969
5642 1.98023
5652 1.9491
5662 1.98675
5672 1.98353
5682 2.02597
5692 2.05428
5702 1.98691
5712 1.96388
5722 1.98197
5732 1.89841
5742 1.97222
5752 1.99349
5762 2.06189
5772 2.05186
5782 1.93949
5792 1.92947
5802 1.98873
5812 1.90824
5822 2.01264
5832 1.98569
5842 2.00644
5852 2.00322
5862 2.19391
5872 1.96788
5882 1.94883
5892 2.08186
5902 2.02726
5912 1.95063
5922 2.04579
5932 1.92086
5942 1.91679
5952 1.99392
5962 1.88774
5972 1.97826
5982 1.99843
5992 1.96714
6002 2.47327
6012 2.01075
6022 1.99531
6032 1.99844
6042 1.95679
6052 2.00464
6062 1.99386
6072 2.00773
6082 2.05271
6092 2.0304
6102 1.98021
6112 1.99388
6122 1.9292
6132 1.97734
6142 1.83073
6152 1.87608
6162 0.760611
6172 1.98632
6182 1.87194
6192 1.99545
6202 2
6212 1.95934
6222 1.87801
6232 1.99248
6242 1.96593
6252 2.05341
6262 1.95104
6272 2.00745
6282 2.05613
6292 2.03726
6302 1.98214
6312 2.01043
6322 2.00893
6332 2.06548
6342 1.9676
6352 1.9705
6362 1.96907
6372 1.9558
6382 1.97159
6392 2.05531
6402 1.99568
6412 1.99272
6422 1.99417
6432 2.00146
6442 2.03644
6452 2.04506
6462 2
6472 2.6686
6482 2.03634
6492 1.89207
6502 1.86418
6512 2.02722
6522 1.99713
6532 2.00288
6542 2
6552 1.87719
6562 1.98322
6572 1.98722
6582 2.06667
6592 1.97765
6602 1.94548
6612 1.83777
6622 2.00132
6632 1.96374
6642 1.85417
6652 2.04648
6662 1.99859
6672 2.07062
6682 2.02665
6692 1.97609
6702 2.1559
6712 2.04755
6722 2.0014
6732 2.04132
6742 2.00416
6752 1.98212
6762 1.90501
6772 2.00693
6782 2.06501
6792 2.05394
6802 1.99862
6812 1.67565
6822 2.03694
6832 1.99177
6842 2.06456
6852 2.07418
6862 2.04626
6872 1.91255
6882 2.06473
6892 2.00383
6902 1.15407
6912 2.10606
6922 2.37252
6932 2.03485
6942 1.9664
6952 1.94032
6962 1.99055
6972 1.89747
6982 2.05087
6992 1.972
7002 2.04424
7012 2.2249
7022 1.98396
7032 2.03877
7042 2.05615
7052 1.9787
7062 1.9699
7072 1.98684
7082 1.91688
7092 2.05388
7102 2.01112
7112 2.01266
7122 1.98069
7132 2.02865
7142 1.97154
7152 1.99609
7162 1.9224
7172 2.00524
7182 1.87268
7192 2.0616
7202 1.98438
7212 1.88228
7222 2.20645
7232 1.98465
7242 1.9859
7252 2.07308
7262 2.00644
7272 1.99614
7282 2.05426
7292 1.97935
7302 2.25483
7312 1.98559
7322 1.98649
7332 1.80538
7342 2.01887
7352 1.94813
7362 1.9899
7372 1.96962
7382 2.06045
7392 2.03914
7402 1.99147
7412 1.97643
7422 2.30109
7432 2.01752
7442 2.00503
7452 2.01511
7462 2.07547
7472 1.97896
7482 1.97167
7492 2.59656
7502 1.99766
7512 2.15213
7522 1.9778
7532 1.94131
7542 2.02709
7552 1.93808
7562 1.98075
7572 1.96763
7582 1.94018
7592 1.96185
7602 1.84233
7612 1.96087
7622 1.91156
7632 1.96063
7642 1.88793
7652 2
7662 1.95419
7672 1.89602
7682 1.72746
7692 2.10043
7702 2.02526
7712 1.95339
7722 1.88242
7732 2.037
7742 1.97318
7752 1.14247
7762 1.92794
7772 2.35553
7782 1.9913
7792 1.82225
7802 2.02833
7812 1.96226
7822 1.92913
7832 1.94609
7842 1.95887
7852 1.90869
7862 1.98497
7872 1.89385
7882 1.97653
7892 2.02086
7902 1.98341
7912 2.02128
7922 1.98167
7932 1.80246
7942 1.94398
7952 1.93469
7962 1.95485
7972 1.84035
7982 2.01519
7992 2.00349
8002 1.9989
8012 1.89698
8022 1.9527
8032 1.96811
8042 1.96893
8052 1.95122
8062 2.014
8072 2.0197
8082 2.11908
8092 2.00686
8102 1.94463
8112 1.84607
8122 1.98758
8132 1.99316
8142 1.96517
8152 1.99211
8162 1.92348
8172 2.08207
8182 2.53341
8192 1.99563
8202 2.13826
8212 1.97833
8222 1.77938
8232 1.90956
8242 2.07791
8252 1.88248
8262 2.0481
8272 1.9574
8282 0.876866
8292 1.63224
8302 2.03863
8312 2.01911
8322 1.78771
8332 2.0011
8342 1.93737
8352 1.99316
8362 1.81782
8372 2.12568
8382 1.98259
8392 1.96394
8402 1.76695
